38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	8	128	472	160	0	768
0	0	0	0	2	127	475	164	0	768
0	0	0	0	1	127	470	170	0	768
0	0	0	0	0	147	472	149	0	768
0	0	0	0	4	148	486	130	0	768
0	0	0	0	9	139	481	139	0	768
0	0	0	0	6	152	477	133	0	768
0	0	0	0	5	142	464	157	0	768
0	0	0	0	6	137	463	162	0	768
0	0	0	0	2	136	459	171	0	768
0	0	0	0	5	143	483	137	0	768
0	0	0	0	6	138	474	150	0	768
0	0	0	0	8	125	483	152	0	768
0	0	0	0	8	140	481	139	0	768
0	0	0	0	10	154	487	117	0	768
0	0	0	0	9	150	490	119	0	768
0	0	0	0	10	133	489	136	0	768
0	0	0	0	6	106	491	165	0	768
0	0	0	0	2	84	501	181	0	768
0	0	0	0	2	79	484	203	0	768
0	0	0	0	5	81	492	190	0	768
0	0	0	0	2	109	483	174	0	768
0	0	0	0	2	107	473	186	0	768
0	0	0	0	5	100	496	167	0	768
0	0	0	0	5	104	489	170	0	768
0	0	0	0	3	94	455	216	0	768
0	0	0	0	1	95	456	216	0	768
0	0	0	0	1	103	458	206	0	768
0	0	0	0	1	103	470	194	0	768
0	0	0	0	2	117	472	177	0	768
0	0	0	0	9	146	466	147	0	768
0	0	0	0	7	172	490	99	0	768
0	0	0	0	6	143	500	119	0	768
0	0	0	0	12	130	513	113	0	768
0	0	0	0	10	133	519	106	0	768
0	0	0	0	11	133	504	120	0	768
0	0	0	0	12	129	499	128	0	768
